actors,worlwide_gross_income
 Samuel L. Jackson," 17,266,704,348.00 "
 Scarlett Johansson," 13,465,001,837.00 "
Robert Downey Jr.," 11,832,012,555.00 "
 Zoe Saldana," 11,372,410,863.00 "
 Paul Bettany," 10,985,894,178.00 "
 Mark Ruffalo," 10,818,152,662.00 "
 Don Cheadle," 10,641,321,847.00 "
 Alan Tudyk," 10,253,736,565.00 "
Johnny Depp," 9,332,420,882.00 "
 Jeremy Renner," 9,299,942,581.00 "
Tom Hanks," 9,153,610,837.00 "
Tom Cruise," 9,034,388,981.00 "
 Morgan Freeman," 8,991,263,014.00 "
 Chris Evans," 8,969,543,509.00 "
 Chris Hemsworth," 8,782,058,641.00 "
 Anthony Daniels," 8,707,106,798.00 "
 Karen Gillan," 8,422,037,725.00 "
 Stanley Tucci," 8,268,202,651.00 "
 Michelle Rodriguez," 8,239,846,642.00 "
 J.K. Simmons," 7,955,490,752.00 "
 Idris Elba," 7,843,848,984.00 "
 Cate Blanchett," 7,626,702,910.00 "
Will Smith," 7,524,239,347.00 "
 Michael Caine," 7,498,344,828.00 "
 Stellan Skarsgård," 7,482,926,478.00 "
 Helena Bonham Carter," 7,479,082,360.00 "
 Tyrese Gibson," 7,366,100,350.00 "
 Orlando Bloom," 7,320,162,004.00 "
 Domhnall Gleeson," 7,310,391,752.00 "
 Woody Harrelson," 7,287,110,221.00 "
 Anthony Mackie," 7,205,014,284.00 "
 Jon Favreau," 7,120,227,761.00 "
 Benedict Cumberbatch," 7,110,846,839.00 "
 Gary Oldman," 7,034,833,845.00 "
 Lupita Nyong'o," 7,021,918,073.00 "
 Frank Oz," 7,019,927,880.00 "
 Tom Holland," 6,609,770,232.00 "
 Steve Buscemi," 6,592,307,609.00 "
Leonardo DiCaprio," 6,564,257,065.00 "
 Willem Dafoe," 6,505,612,768.00 "
 Geoffrey Rush," 6,502,138,310.00 "
Harrison Ford," 6,322,905,327.00 "
 Sigourney Weaver," 6,298,621,046.00 "
 Andy Serkis," 6,212,361,594.00 "
 Chadwick Boseman," 6,179,997,501.00 "
 Steve Coogan," 6,170,458,285.00 "
 Alfred Molina," 6,152,923,474.00 "
 Judy Greer," 6,136,899,863.00 "
 Bill Hader," 6,135,797,734.00 "
 Josh Gad," 6,119,786,214.00 "
 Bonnie Hunt," 6,118,660,992.00 "
 T.J. Miller," 6,052,665,694.00 "
 Luke Evans," 6,045,802,972.00 "
Dwayne Johnson," 5,985,997,282.00 "
 Tom Hiddleston," 5,983,719,152.00 "
 Anne Hathaway," 5,974,151,380.00 "
 Kristen Wiig," 5,960,215,369.00 "
 Dwayne Johnson," 5,952,009,865.00 "
 Paul Rudd," 5,943,512,081.00 "
Vin Diesel," 5,912,754,256.00 "
 Alec Baldwin," 5,869,912,209.00 "
 James Cromwell," 5,833,169,750.00 "
 John Ratzenberger," 5,815,679,210.00 "
 Oscar Isaac," 5,808,476,692.00 "
 Laurence Fishburne," 5,758,910,378.00 "
 Gal Gadot," 5,728,954,995.00 "
 Gwyneth Paltrow," 5,727,120,698.00 "
 Ralph Fiennes," 5,676,458,022.00 "
 Elizabeth Banks," 5,667,660,575.00 "
 Richard Griffiths," 5,594,162,301.00 "
 Ken Jeong," 5,589,176,778.00 "
 Ciarán Hinds," 5,552,018,422.00 "
 Carrie Fisher," 5,542,865,957.00 "
 Seth Rogen," 5,495,314,598.00 "
 Marton Csokas," 5,491,587,677.00 "
 Eddie Marsan," 5,454,904,759.00 "
 Allison Janney," 5,376,900,318.00 "
 Kevin McNally," 5,358,711,643.00 "
 Giovanni Ribisi," 5,317,635,201.00 "
 Jenny Slate," 5,280,051,835.00 "
 Christopher Lee," 5,244,013,115.00 "
 Jeff Goldblum," 5,211,353,999.00 "
 Elizabeth Olsen," 5,182,667,948.00 "
 Daisy Ridley," 5,178,964,715.00 "
 Jeffrey Tambor," 5,174,753,136.00 "
 Keegan-Michael Key," 5,165,748,826.00 "
 Naomie Harris," 5,158,989,962.00 "
 Ben Mendelsohn," 5,153,518,916.00 "
Adam Sandler," 5,147,008,523.00 "
Bruce Willis," 5,143,455,833.00 "
 Clark Gregg," 5,108,649,380.00 "
 Djimon Hounsou," 5,107,591,293.00 "
 Sean Bean," 5,100,038,166.00 "
 John Cleese," 5,099,478,075.00 "
 Jason Statham," 5,049,664,014.00 "
 Cameron Diaz," 5,030,838,464.00 "
 Judi Dench," 4,996,564,960.00 "
 Robert Pattinson," 4,989,396,773.00 "
 Jonah Hill," 4,988,474,186.00 "
 Cobie Smulders," 4,983,238,880.00 "
Hugh Jackman," 4,967,246,068.00 "
 Michael Keaton," 4,957,128,810.00 "
 Kathy Bates," 4,947,123,368.00 "
 Ving Rhames," 4,932,389,804.00 "
 Timothy Spall," 4,897,539,717.00 "
 Bryce Dallas Howard," 4,889,986,483.00 "
 John Turturro," 4,873,893,520.00 "
 Ludacris," 4,865,645,913.00 "
 Bill Paxton," 4,865,297,612.00 "
 Emma Watson," 4,861,370,926.00 "
 Rupert Grint," 4,852,218,363.00 "
 Simon Pegg," 4,838,079,177.00 "
Chris Pratt," 4,831,213,318.00 "
 Christopher Knights," 4,818,184,809.00 "
 Jim Broadbent," 4,809,197,763.00 "
 Bernard Hill," 4,785,139,502.00 "
 Martin Freeman," 4,780,113,265.00 "
 John Hurt," 4,760,764,563.00 "
 Adam Driver," 4,751,196,969.00 "
 Ian McShane," 4,738,342,172.00 "
 Owen Wilson," 4,729,834,048.00 "
 Bill Nighy," 4,729,713,722.00 "
 Julie Walters," 4,725,704,514.00 "
 Keira Knightley," 4,697,887,731.00 "
 Kevin Hart," 4,680,811,832.00 "
 Julie Andrews," 4,660,327,052.00 "
 Ben Kingsley," 4,652,612,044.00 "
 Paul Giamatti," 4,634,077,503.00 "
 Denis Leary," 4,621,585,864.00 "
 Anthony Hopkins," 4,612,224,217.00 "
 Kurt Russell," 4,582,240,690.00 "
 BD Wong," 4,572,000,496.00 "
Sandra Bullock," 4,555,029,518.00 "
 Alan Rickman," 4,549,302,839.00 "
 Toby Jones," 4,525,601,683.00 "
 John Boyega," 4,521,770,892.00 "
 Jude Law," 4,512,044,305.00 "
 Graham McTavish," 4,491,049,799.00 "
Mark Wahlberg," 4,457,061,556.00 "
 John Leguizamo," 4,440,365,394.00 "
 Will Arnett," 4,440,244,089.00 "
 Donald Sutherland," 4,429,190,785.00 "
 Joan Cusack," 4,423,265,370.00 "
 Julianne Moore," 4,385,802,755.00 "
Jim Carrey," 4,385,768,508.00 "
 Ian McDiarmid," 4,358,052,018.00 "
 Charlize Theron," 4,349,396,945.00 "
 David Cross," 4,341,779,959.00 "
 Queen Latifah," 4,336,449,000.00 "
 Jonathan Pryce," 4,330,766,093.00 "
 Jane Lynch," 4,327,791,945.00 "
 Brendan Gleeson," 4,320,193,375.00 "
 Natalie Portman," 4,319,614,236.00 "
Ben Stiller," 4,299,287,362.00 "
 Evangeline Lilly," 4,288,285,948.00 "
 Amy Adams," 4,263,104,570.00 "
 Temuera Morrison," 4,251,589,372.00 "
 Forest Whitaker," 4,246,311,443.00 "
 Emma Thompson," 4,239,836,625.00 "
 Eddie Murphy," 4,238,395,523.00 "
 John Goodman," 4,228,251,561.00 "
 Elsa Pataky," 4,227,893,926.00 "
 Ewan McGregor," 4,218,010,501.00 "
 Michael Peña," 4,191,691,744.00 "
 Josh Hutcherson," 4,184,525,886.00 "
 Max von Sydow," 4,162,403,247.00 "
 Laura Dern," 4,154,357,921.00 "
Arnold Schwarzenegger," 4,149,051,833.00 "
 Angelina Jolie," 4,138,001,139.00 "
 Danny Glover," 4,133,353,258.00 "
 Tom Hollander," 4,127,071,221.00 "
 Jeremy Irons," 4,122,130,202.00 "
 Michael Gambon," 4,115,748,851.00 "
 John C. Reilly," 4,113,003,083.00 "
 Kevin Dunn," 4,105,403,564.00 "
 Jed Brophy," 4,104,852,634.00 "
 James Franco," 4,101,062,277.00 "
 Halle Berry," 4,078,580,679.00 "
 James Earl Jones," 4,055,362,622.00 "
 Diane Lane," 4,026,686,861.00 "
 Jack Black," 4,025,764,944.00 "
Mike Myers," 4,024,394,962.00 "
Daniel Craig," 4,005,068,774.00 "
 Wayne Knight," 4,002,906,739.00 "
 Colin Firth," 3,981,106,374.00 "
 Philip Seymour Hoffman," 3,981,042,723.00 "
 Christopher Walken," 3,965,953,309.00 "
 Ian McKellen," 3,961,172,493.00 "
 Zach Galifianakis," 3,959,478,632.00 "
 Conrad Vernon," 3,958,032,906.00 "
 Billy Burke," 3,950,812,200.00 "
 Jon Voight," 3,933,764,327.00 "
 Michael Beattie," 3,931,173,268.00 "
Matt Damon," 3,927,273,662.00 "
 Richard Armitage," 3,899,135,720.00 "
 Matt Gerald," 3,884,867,914.00 "
 Peter Mayhew," 3,868,605,560.00 "
 Victor Garber," 3,868,102,829.00 "
 Chiwetel Ejiofor," 3,857,081,565.00 "
 Kirsten Dunst," 3,844,210,839.00 "
Steve Carell," 3,842,745,928.00 "
Christian Bale," 3,812,170,790.00 "
 Benjamin Bratt," 3,800,938,555.00 "
 Cedric the Entertainer," 3,790,418,446.00 "
 Fiona Shaw," 3,767,637,781.00 "
 Hayley Atwell," 3,761,461,232.00 "
 Jim Cummings," 3,752,745,840.00 "
 Dileep Rao," 3,751,066,729.00 "
 John Malkovich," 3,744,578,968.00 "
 Daniel Radcliffe," 3,737,331,068.00 "
 Sean Astin," 3,736,434,951.00 "
 Ed Harris," 3,735,331,609.00 "
Sam Worthington," 3,730,202,314.00 "
 Adam Brown," 3,726,269,026.00 "
 Brie Larson," 3,722,020,142.00 "
 Brad Garrett," 3,713,961,738.00 "
 Pierre Coffin," 3,708,122,528.00 "
 Peter Stormare," 3,707,755,289.00 "
 Irrfan Khan," 3,706,045,491.00 "
 Catherine Keener," 3,697,830,456.00 "
 Chris Rock," 3,695,886,131.00 "
 Wallace Shawn," 3,683,069,273.00 "
 Brad Pitt," 3,682,644,063.00 "
 Paul Walker," 3,681,242,806.00 "
 Bradley Cooper," 3,680,788,718.00 "
 Jackson Rathbone," 3,679,613,800.00 "
 Brian Cox," 3,678,391,642.00 "
 Antonio Banderas," 3,676,948,913.00 "
 Shea Whigham," 3,676,606,311.00 "
 Toby Kebbell," 3,652,467,671.00 "
Nicolas Cage," 3,644,739,417.00 "
 Josh Duhamel," 3,636,929,126.00 "
 Michael Sheen," 3,622,154,058.00 "
 Harry Melling," 3,619,846,881.00 "
 Rose Byrne," 3,615,329,609.00 "
 Danny DeVito," 3,606,634,832.00 "
Daniel Radcliffe," 3,596,198,564.00 "
 Marisa Tomei," 3,592,394,520.00 "
 Mark Hamill," 3,573,345,018.00 "
 Kate Winslet," 3,568,811,395.00 "
 Emma Stone," 3,559,822,434.00 "
 Bobby Cannavale," 3,558,044,613.00 "
 Joonas Suotamo," 3,535,293,091.00 "
 CCH Pounder," 3,530,657,813.00 "
 Jordana Brewster," 3,522,300,092.00 "
 Kristen Schaal," 3,518,749,114.00 "
 William Fichtner," 3,507,312,790.00 "
Liam Neeson," 3,504,354,254.00 "
 Wes Studi," 3,502,876,454.00 "
 Mark Hadlow," 3,493,753,660.00 "
 Harrison Ford," 3,492,506,280.00 "
 Mark Strong," 3,485,521,466.00 "
 John Lithgow," 3,475,400,463.00 "
 Gwendoline Christie," 3,466,960,057.00 "
 Frank Grillo," 3,464,660,510.00 "
 Robert De Niro," 3,463,370,411.00 "
 Famke Janssen," 3,459,720,297.00 "
 Dustin Hoffman," 3,455,516,728.00 "
 Keith David," 3,455,058,696.00 "
Ben Affleck," 3,452,541,114.00 "
 Christopher Plummer," 3,438,651,913.00 "
 Jeffrey Wright," 3,432,286,827.00 "
 Liam Hemsworth," 3,426,011,507.00 "
Brad Pitt," 3,420,317,601.00 "
 Jason Bateman," 3,414,053,419.00 "
 Holly Hunter," 3,404,512,681.00 "
 Eugene Levy," 3,395,670,348.00 "
 Laz Alonso," 3,395,097,700.00 "
 Tom Hardy," 3,395,023,609.00 "
